 0.047415   2.122   0.431 -20.827   0.777   0.0000000036545  10.515    6.485
 0.083264   2.300   0.558 -21.978   0.763   0.0000000009607  10.995    6.934
 0.087488   2.346   0.463 -21.466   0.793   0.0000000017622  10.922    7.985
 0.088710   2.228   0.399 -21.203   0.761   0.0000000024099  10.754    6.963
 0.088812   2.280   0.299 -21.129   0.744   0.0000000026322  10.642    7.577
 0.090309   2.328   0.553 -21.547   0.791   0.0000000016067  10.904    7.163
 0.221899   2.469   0.866 -23.283   0.787   0.0000000002521  11.493    5.478
 0.168004   2.475   0.706 -22.881   0.833   0.0000000003708  11.318    7.016
 0.089436   2.250   0.422 -21.078   0.745   0.0000000028019  10.660    7.755
 0.088787   2.257   0.411 -21.227   0.760   0.0000000023429  10.717    6.868
 0.168058   2.502   1.088 -23.566   0.809   0.0000000001822  11.725   10.354
 0.126860   2.527   0.651 -22.759   0.844   0.0000000004099  11.398    8.614
 0.171073   2.321   1.254 -23.449   0.753   0.0000000002050  11.651    9.703
 0.141983   2.372   0.875 -22.595   0.796   0.0000000004977  11.302    8.810
 0.146699   2.209   0.665 -22.227   0.833   0.0000000007585  11.060    8.845
 0.171768   2.380   0.728 -22.548   0.785   0.0000000005374  11.094    5.438
 0.082423   2.299   0.407 -21.438   0.762   0.0000000018135  10.838    8.320
 0.048165   2.237   0.785 -22.245   0.764   0.0000000006843  11.162    6.731
 0.170392   2.398   0.813 -22.875   0.745   0.0000000003741  11.285    6.152
 0.136416   2.296   0.664 -22.023   0.802   0.0000000009545  11.017    6.755
 0.150601   2.432   0.879 -22.720   0.822   0.0000000004362  11.355    7.980
 0.145307   2.336   0.676 -22.031   0.874   0.0000000009521  11.311    8.798
 0.063931   2.334   0.866 -22.580   0.803   0.0000000004749  11.384    8.507
 0.143579   2.398   0.556 -22.080   0.784   0.0000000008979  11.105    9.596
 0.113504   2.306   0.214 -21.408   0.724   0.0000000019319  10.798    6.742
 0.070363   2.197   0.624 -22.012   0.733   0.0000000009140  10.960    7.367
 0.080994   2.160   0.502 -21.049   0.767   0.0000000028790  10.670    7.372
 0.120867   2.441   0.334 -21.536   0.788   0.0000000016703  10.833    8.138
 0.131261   2.208   0.618 -21.797   0.741   0.0000000012385  10.923    7.173
 0.072061   2.174   0.599 -21.516   0.749   0.0000000016397  10.838    5.740
 0.087867   2.361   0.881 -23.249   0.683   0.0000000002363  11.363    4.625
 0.130977   2.359   0.913 -22.965   0.810   0.0000000003291  11.454    7.338
 0.106809   2.346   0.551 -21.452   0.750   0.0000000018231  10.876    9.343
 0.069995   2.189   0.107 -20.293   0.724   0.0000000072210  10.412    7.508
 0.080152   2.277   0.647 -21.761   0.771   0.0000000012380  10.904    6.190
 0.137545   2.289   0.664 -22.264   0.788   0.0000000007216  11.181    7.221
 0.083706   2.293   0.552 -21.695   0.748   0.0000000013412  10.944    8.588
 0.084139   2.126   0.536 -21.632   0.744   0.0000000014459  10.895    5.754
 0.138934   2.372   0.598 -22.157   0.808   0.0000000008171  11.063    6.380
 0.140750   2.264   0.760 -21.990   0.694   0.0000000009955  11.015    5.564
 0.083076   2.285   0.389 -21.347   0.791   0.0000000020225  10.771    6.883
 0.136083   2.234   0.698 -22.337   0.756   0.0000000006622  11.161    7.593
 0.124712   2.247   0.492 -21.651   0.778   0.0000000014628  10.889    7.198
 0.091271   2.248   0.219 -21.415   0.709   0.0000000018787  10.519    3.832
